pos_score,neg_score,class
"[0.0, 0.75]","[1.0, 1.5]",b
"[0.0, 0.75]","[0.5, 1.0]",b
"[0.0, 0.75]","[0.5, 1.0]",b
"[0.0, 0.75]","[0.5, 1.0]",b
"[0.0, 0.75]","[1.5, 2.0]",b
"[1.5, 2.25]","[0.0, 0.5]",g
"[0.75, 1.5]","[0.5, 1.0]",g
"[0.75, 1.5]","[0.0, 0.5]",g
"[1.5, 2.25]","[0.0, 0.5]",g
"[0.75, 1.5]","[0.0, 0.5]",g
"[2.25, 3.0]","[0.0, 0.5]",g
"[0.0, 0.75]","[0.0, 0.5]",n
"[0.0, 0.75]","[0.0, 0.5]",n
"[0.0, 0.75]","[0.5, 1.0]",n
"[0.0, 0.75]","[0.5, 1.0]",n
"[0.0, 0.75]","[0.0, 0.5]",n
