pos_score,neg_score,class
0.38,0.0,g
0.33,0.05,g
0.25,0.0,g
0.43,0.0,g
0.44,0.16,g
0.44,0.0,g
0.56,0.06,g
0.25,0.0,g
0.31,0.12,g
0.3,0.21,g
0.28,0.0,g
0.29,0.08,g
0.04,0.23,b
0.09,0.27,b
0.0,0.5,b
0.06,0.19,b
0.0,0.17,b
0.04,0.29,b
0.25,0.25,b
0.12,0.2,b
0.06,0.38,b
0.06,0.25,b
0.1,0.28,b
0.17,0.25,b
0.07,0.34,b
0.06,0.31,b
0.14,0.36,b
0.03,0.25,b
0.0,0.35,b
0.05,0.04,n
0.06,0.0,n
0.09,0.16,n
0.04,0.12,n
0.14,0.02,n
0.21,0.0,n
0.19,0.06,n
0.23,0.16,n
0.1,0.15,n
0.15,0.12,n
0.07,0.07,n
0.04,0.09,n
0.24,0.05,n
0.04,0.12,n
0.12,0.12,n
0.15,0.0,n
0.15,0.0,n
0.17,0.08,n
0.19,0.16,n
0.03,0.06,n
0.23,0.04,n
